id,name,charging_speed_kw,electrical_load_amps,voltage,circuit_type,panel_amps_240v,cost_min,cost_max,installation_type,installation_notes,manufacturer,model_number,smart_features,load_calc_cf
ev_001,240v Emporia Pro Level 2 (11.5 kW),11.5,48,240,dedicated,0,600,800,hardwired,Pauses charging based on load,Emporia,EMC2-A,TRUE,1
ev_002,120v Level 1 Portable (1.44 kW),1.44,12,120,shared,6,100,200,standard plug,,Schumacher Electric,SEV1670,FALSE,1
ev_003,120v Level 1 Portable Tesla (1.44 kW),1.44,12,120,shared,6,100,200,standard plug,,Lectron,Tesla Plug,FALSE,1
ev_004,240v Level 1/2 Portable (3.8 kW),3.8,16,240,dedicated,15.8,200,200,hardwired,Requires 20A circuit (16A continuous),Type S,Portable,FALSE,1
ev_005,240v Schneider Electric Evlink (7.2 kW),7.2,30,240,dedicated,30,400,600,hardwired,Requires 40A circuit (30A continuous),Schneider Electric,EV230WS,FALSE,1
ev_006,240v Siemens VersiCharge (7.2 kW),7.2,30,240,dedicated,30,350,550,hardwired,Requires 40A circuit (30A continuous),Siemens,VC30GRYU,FALSE,1
ev_007,240v GE WattStation (7.2 kW),7.2,30,240,dedicated,30,400,600,hardwired,Requires 40A circuit (30A continuous),GE,GE-WS-30,FALSE,1
ev_008,240v Leviton EVB40 (7.2 kW),7.2,30,240,dedicated,30,300,500,hardwired,Requires 40A circuit (30A continuous),Leviton,EVB40,FALSE,1
ev_009,240v Blink HQ-150 (7.2 kW),7.2,30,240,dedicated,30,250,450,hardwired,Requires 40A circuit (30A continuous),Blink,HQ-150,FALSE,1
ev_010,240v Leviton charger (7.6 kW),7.6,32,240,dedicated,31.7,500,700,hardwired,Requires 40A circuit (32A continuous),Leviton,EV320,FALSE,1
ev_011,240v Enel X JuiceBox (7.7 kW),7.7,32,240,dedicated,32,300,500,hardwired,Requires 40A circuit (32A continuous),Enel X,JB40,TRUE,1
ev_012,240v Wallbox Pulsar Plus (7.4 kW),7.4,32,240,dedicated,32,350,550,hardwired,Requires 40A circuit (32A continuous),Wallbox,Pulsar Plus,TRUE,1
ev_013,240v ABB Terra (7.4 kW),7.4,32,240,dedicated,32,450,650,hardwired,Requires 40A circuit (32A continuous),ABB,Terra 184,TRUE,1
ev_014,240v Enphase Dual Port (7.7 kW),7.7,32,240,dedicated,32.1,2100,2800,hardwired,Requires 40A circuit (32A continuous),Enphase,HCS-D40,TRUE,1
ev_015,240v ChargePoint Home Flex (9.6 kW),9.6,40,240,dedicated,40,500,700,hardwired,Requires 50A circuit (40A continuous),ChargePoint,CPH50,TRUE,1
ev_016,240v Tesla Wall Connector (11.5 kW),11.5,48,240,dedicated,48,400,600,hardwired,Requires 60A circuit (48A continuous),Tesla,WC-G2,TRUE,1
